Horodateur,Quel est ton parcours académique ?,Combiens de livres as tu  lu les 6 derniers mois?,Comment exprimes tu  tes idées et tes émotions?,Combiens de pages as tu écrites?,As tu fait des tentatives de poésie?,Joues tu le scrable?,As tu  visité un monument historique?,Lis tu  des livres d'histoire?,Votre Réaction face à une nouvelle?,Combiens de journaux par semaine tu lis?,Dans le présent gouvernement: combien de ministres peux tu identifier?,Devant une décision:,Lors d'un discours:,Lors d'une discussion?,Est-ce tu veux te consacrer aux autres?,Est-ce tu as choisi les math comme option?,Est-ce que  tu joues à l'echec?,"Dans ton travail, tu préfères:","Dans ton travail, tu préfères, une activité artistique","Dans ton travail, tu aimes créer, inventer …","En cas de stress, je garde la tête froide",Je repère facilement les petits défauts,Tu es du genre à répondre aux besoins des autres,Votre moyenne des sciences naturelles en 3eme annee secondaire,Je me sens à l'aise en travaillant en équipe,Je trouve du plaisir à travailler les mathématiques,"Ce qu'il t'attire le plus, les sciences fondamentales (math, physiques…).","Ce qu'il t'attire le plus, transmettre tes connaissances aux autres.","Ce qu'il t'attire le plus, travailler avec tes mains.","Ce qu'il t'attire le plus, utiliser des outils ou des instruments.","Ce qu'il t'attire le plus, mettre en application tes connaissances théoriques.","Ce qu'il t'attire le plus, réaliser des projets.","Pour toi, le travail en équipe, est une obligation","Ce qu'il t'attire le plus, faire preuve d'endurance.",Tu est du type qui aime travailler la terre.,Tu est du type qui aime s'occuper des animaux.
2021/04/17 3:47:05 PM UTC+2,Sc. Juridiques,>4,Réaction verbale,<5,Non,Non,Non,Non,Mettre en question,3 à 7,>5,Tu prends la décision tout seul indépendamment des autres,Tu sais séduire les autres,Tu participes et tu tiens à tes idées?,Oui souvent,Non mais moyenne en 3eme annee secondaire <10,Oui souvent,Un travail actif,Pas du tout,Pas du tout,Oui parfaitement,Oui parfaitement,Oui parfaitement,<10,Moyennement,Pas du tout,Pas du tout,Pas du tout,Oui parfaitement,Pas du tout,Oui parfaitement,Pas du tout,Pas du tout,Beaucoup,Pas du tout,Pas du tout
2021/05/23 10:32:22 PM UTC+2,Agriculture & environnement,<2,Réaction physique,<5,Non,Non,Non,Non,Négliger,<3,<5,"Discuter ton point de vue, puis décider",Tu sais séduire les autres,Tu participes et tu acceptes changer tes idées?,Oui souvent,Non mais moyenne en 3eme annee secondaire <10,Non,Un travail actif,Pas du tout,Beaucoup,Moyennement,Oui parfaitement,Moyennement,10 à 15,Moyennement,Pas du tout,Pas du tout,Moyennement,Oui parfaitement,Oui parfaitement,Oui parfaitement,Oui parfaitement,Moyennement,Beaucoup,Beaucoup,Beaucoup
2021/04/17 3:05:33 PM UTC+2,Médias,>4,Réaction physique,5 à 10,1 à 2,Parfois,Oui,1 à 3,Mettre en question,>7,Tous,"Discuter ton point de vue, puis décider",Tu sais séduire les autres,Tu participes et tu acceptes changer tes idées?,Un peu,Non mais moyenne en 3eme annee secondaire <10,Rarement,Un tarvail de bureau,Moyennement,Moyennement,Moyennement,Moyennement,Oui parfaitement,<10,Moyennement,Pas du tout,Pas du tout,Moyennement,Moyennement,Moyennement,Oui parfaitement,Oui parfaitement,Oui parfaitement,Moyennement,Moyennement,Moyennement
2021/04/19 12:09:01 AM UTC+2,Sc. Humaines,2 à 4,Ecrire,5 à 10,1 à 2,Souvent,Oui,>3,Mettre en question,3 à 7,<5,Tu prends la décision tout seul indépendamment des autres,Tu t'exprimes mais timidement,Tu participes et tu acceptes changer tes idées?,Un peu,Non mais moyenne en 3eme annee secondaire >10,Non,Un travail actif,Beaucoup,Beaucoup,Moyennement,Oui parfaitement,Moyennement,10 à 15,Oui parfaitement,Pas du tout,Pas du tout,Moyennement,Moyennement,Pas du tout,Moyennement,Oui parfaitement,Pas du tout,Pas du tout,Pas du tout,Moyennement
2021/04/21 12:19:21 AM UTC+2,Lettres & langues,<2,Ecrire,<5,Non,Parfois,Oui,1 à 3,Négliger,>7,>5,Tu prends la décision tout seul indépendamment des autres,Tu t'exprimes mais timidement,Tu ne participes pas et tu préfères garder tes idées à toi?,Un peu,Non mais moyenne en 3eme annee secondaire >10,Rarement,Un travail actif,Moyennement,Beaucoup,Oui parfaitement,Oui parfaitement,Oui parfaitement,10 à 15,Pas du tout,Pas du tout,Pas du tout,Moyennement,Pas du tout,Oui parfaitement,Moyennement,Pas du tout,Pas du tout,Beaucoup,Pas du tout,Beaucoup
2021/04/18 11:38:43 PM UTC+2,Sc. Juridiques,>4,Réaction verbale,<5,Non,Non,Oui,Non,Mettre en question,>7,Tous,"Discuter ton point de vue, puis décider",Tu sais séduire les autres,Tu participes et tu acceptes changer tes idées?,Oui souvent,Non mais moyenne en 3eme annee secondaire <10,Oui souvent,Un tarvail de bureau,Pas du tout,Moyennement,Moyennement,Oui parfaitement,Oui parfaitement,<10,Moyennement,Pas du tout,Pas du tout,Oui parfaitement,Oui parfaitement,Pas du tout,Oui parfaitement,Moyennement,Pas du tout,Beaucoup,Pas du tout,Pas du tout
2021/05/23 10:35:34 PM UTC+2,Etudes ingénieurs & architech,>4,Réaction verbale,>10,Non,Parfois,Oui,1 à 3,Mettre en question,<3,<5,Tu prends la décision tout seul indépendamment des autres,Tu sais séduire les autres,Tu participes et tu acceptes changer tes idées?,Un peu,Oui,Oui souvent,Un travail actif,Pas du tout,Moyennement,Oui parfaitement,Oui parfaitement,Oui parfaitement,10 à 15,Oui parfaitement,Oui parfaitement,Oui parfaitement,Moyennement,Moyennement,Moyennement,Oui parfaitement,Oui parfaitement,Moyennement,Pas du tout,Pas du tout,Moyennement
2021/06/06 10:27:55 AM UTC+2,Arts et métiers,<2,Réaction verbale,<5,>2,Non,Non,Non,Admettre,<3,<5,"Discuter ton point de vue, puis décider",Tu sais séduire les autres,Tu participes et tu acceptes changer tes idées?,Un peu,,Non,Un travail actif,Beaucoup,Beaucoup,Oui parfaitement,Pas du tout,Pas du tout,<10,Pas du tout,Pas du tout,Pas du tout,Pas du tout,Oui parfaitement,Oui parfaitement,Pas du tout,Moyennement,Pas du tout,Moyennement,Pas du tout,Pas du tout
2021/04/17 3:21:10 PM UTC+2,Médias,2 à 4,Réaction verbale,<5,Non,Non,Oui,1 à 3,Mettre en question,3 à 7,>5,Tu prends la décision tout seul indépendamment des autres,Tu t'exprimes mais timidement,Tu participes et tu acceptes changer tes idées?,Oui souvent,Non mais moyenne en 3eme annee secondaire <10,Oui souvent,L'essentiel un travail peu fatiguant,Pas du tout,Moyennement,Oui parfaitement,Moyennement,Oui parfaitement,<10,Oui parfaitement,Pas du tout,Pas du tout,Oui parfaitement,Pas du tout,Pas du tout,Oui parfaitement,Moyennement,Moyennement,Moyennement,Pas du tout,Pas du tout
2021/04/17 1:46:35 PM UTC+2,Lettres & langues,<2,Ecrire,>10,>2,Parfois,Oui,Non,Mettre en question,<3,<5,"Discuter ton point de vue, puis décider",Tu sais séduire les autres,Tu participes et tu acceptes changer tes idées?,Un peu,Non mais moyenne en 3eme annee secondaire <10,Rarement,L'essentiel un travail peu fatiguant,Moyennement,Moyennement,Oui parfaitement,Oui parfaitement,Moyennement,<10,Moyennement,Pas du tout,Pas du tout,Oui parfaitement,Moyennement,Pas du tout,Moyennement,Pas du tout,Pas du tout,Moyennement,,
2021/04/19 5:47:47 PM UTC+2,Médicale,2 à 4,Réaction physique,5 à 10,Non,Non,Non,Non,Mettre en question,<3,<5,Tu prends la décision tout seul indépendamment des autres,Tu t'exprimes mais timidement,Tu participes et tu tiens à tes idées?,Oui souvent,Non mais moyenne en 3eme annee secondaire >10,Rarement,Un travail actif,Pas du tout,Moyennement,Oui parfaitement,Oui parfaitement,Oui parfaitement,>15,Oui parfaitement,Pas du tout,Moyennement,Oui parfaitement,Oui parfaitement,Oui parfaitement,Oui parfaitement,Moyennement,Oui parfaitement,Beaucoup,Pas du tout,Beaucoup
2021/05/24 12:36:21 AM UTC+2,Arts et métiers,<2,Réaction verbale,<5,1 à 2,Parfois,Oui,1 à 3,Mettre en question,<3,<5,Tu prends la décision tout seul indépendamment des autres,Tu sais séduire les autres,Tu participes et tu acceptes changer tes idées?,Oui souvent,Non mais moyenne en 3eme annee secondaire >10,Rarement,Un travail actif,Beaucoup,Beaucoup,Moyennement,Oui parfaitement,Oui parfaitement,10 à 15,Oui parfaitement,Moyennement,Pas du tout,Moyennement,Oui parfaitement,Oui parfaitement,Moyennement,Oui parfaitement,Moyennement,Moyennement,Pas du tout,Beaucoup
2021/06/06 10:24:48 AM UTC+2,Médias,<2,Réaction verbale,<5,Non,Non,Oui,Non,Mettre en question,>7,Tous,"Discuter ton point de vue, puis décider",Tu sais séduire les autres,Tu participes et tu acceptes changer tes idées?,Oui souvent,,Non,Un travail actif,Pas du tout,Pas du tout,Oui parfaitement,Moyennement,Moyennement,<10,Moyennement,Pas du tout,Pas du tout,Oui parfaitement,Pas du tout,Pas du tout,Pas du tout,Moyennement,Moyennement,Moyennement,Pas du tout,Pas du tout
2021/04/20 3:26:50 PM UTC+2,Médicale,2 à 4,Réaction verbale,5 à 10,1 à 2,Souvent,Non,1 à 3,Mettre en question,3 à 7,>5,"Discuter ton point de vue, puis décider",Tu sais séduire les autres,Tu participes et tu acceptes changer tes idées?,Oui souvent,Non mais moyenne en 3eme annee secondaire >10,Rarement,Un travail actif,Pas du tout,Beaucoup,Oui parfaitement,Moyennement,Oui parfaitement,>15,Oui parfaitement,Moyennement,Moyennement,Moyennement,Moyennement,Moyennement,Oui parfaitement,Moyennement,Moyennement,Moyennement,Pas du tout,Beaucoup
